PREF IBKR,CMON,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,CGRUP,Last Price,Oct19_diff,Aug2022_diff,SMA88,SMA268,SMA88 chg,SMA268 chg,6M Low,6M High,1Y Low,1Y High,TIME TO DIV,Div adj.price,6M_Low_diff,6M_High_diff,SMA88_chg_norm,SMA268_chg_norm,6M_Low_diff_norm,6M_High_diff_norm,Aug4_chg,Oct19_chg,Aug4_chg_norm,Oct19_chg_norm,1Y_High_diff,1Y_Low_diff,1Y_High_diff_norm,1Y_Low_diff_norm,ADV_6M,ADV_3M,ADV_15D,AVG_ADV,PREF YF,FF-FR_,CMON OUTS SHARES,CMON SECTOR,LAST PRICE,DIV ADJ.PRICE,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
DUKB,DUK,BB,12,12/13/2024,,,0.35,5.63%,26.08,21.93,c550,23.92,1.99,-2.16,24.51,24.72,-2.43,-3.24,23.3,25.46,21.8,25.5,73.0,23.85,0.55,-1.61,58.621736,42.755906,72.908012,22.941176,-2.23,1.92,40.521739,55.279642,-1.65,2.05,21.672131,68.905473,27745,28548,31894,29395,,,,,,,,,,
ECF PRA,ECF,,16,12/16/2024,,,0.33,5.25%,24.84,21.83,c525,21.76,-0.07,-3.08,21.88,22.5,-0.53,-3.28,20.21,24.36,20.21,24.43,76.0,21.71,1.5,-2.65,49.392835,42.923885,50.356083,36.535948,-3.13,-0.12,48.347826,73.534676,-2.72,1.5,35.704918,74.378109,1241,936,447,875,,,,,,,,,,
EFSCP,EFSC,,NR,11/27/2024,,,0.31,5.00%,21.75,15.4,c500,19.76,4.36,-1.99,18.87,19.62,4.74,0.7,17.2,22.22,13.68,22.22,57.0,19.65,2.45,-2.57,23.794778,26.209974,27.804154,35.490196,-2.1,4.25,39.391304,34.42953,-2.57,5.97,33.737705,29.900498,2384,2106,1204,1898,,,,,,,,,,
ELC,ETR,BB,15,11/29/2024,,,0.3,4.88%,25.3,20.02,c475,20.19,0.17,-5.11,20.57,21.61,-1.83,-6.58,19.86,23.43,19.86,23.45,59.0,20.09,0.23,-3.34,55.707347,56.782152,80.504451,45.555556,-5.21,0.07,66.434783,71.834452,-3.36,0.23,44.098361,87.014925,12365,10434,10722,11173,,,,,,,,,,
EMP,ETR,BB,14.5,12/27/2024,,,0.31,4.90%,25.3,20.07,c475,20.62,0.55,-4.68,20.72,21.84,-0.49,-5.57,20.01,23.61,19.9,24.23,87.0,20.61,0.6,-3.0,49.198543,52.540682,71.721068,41.111111,-4.69,0.54,61.913043,67.628635,-3.62,0.71,47.508197,82.238806,11847,10946,9235,10676,,,,,,,,,,
ENJ,ETR,BB,14.5,11/29/2024,12/1/2017,,0.31,5.00%,24.79,19.49,c500,20.3,0.81,-4.49,20.73,21.68,-2.07,-6.38,19.86,23.91,19.31,24.59,59.0,20.19,0.33,-3.72,56.873103,55.942257,78.130564,50.522876,-4.6,0.7,61.130435,66.196868,-4.4,0.88,57.737705,80.547264,1525,1304,1163,1330,,,,,,,,,,
ENO,ETR,BB,13,12/27/2024,,,0.34,5.50%,25.4,20.75,c550,21.86,1.11,-3.54,22.0,23.02,-0.65,-5.04,21.21,25.26,20.5,25.32,87.0,21.85,0.64,-3.41,49.975713,50.314961,70.771513,46.470588,-3.55,1.1,52.0,62.61745,-3.47,1.35,45.540984,75.870647,7465,8092,4777,6778,,,,,,,,,,
EQH PRA,EQH,,10.5,11/29/2024,,,0.33,5.25%,23.77,17.79,c525,20.58,2.79,-3.19,20.4,21.62,0.86,-4.81,18.41,23.76,17.26,23.89,59.0,20.47,2.06,-3.29,42.641166,49.349081,37.062315,44.901961,-3.3,2.68,49.826087,48.478747,-3.42,3.21,44.885246,57.363184,47627,46975,50250,48284,,,,,,,,,,
EQH PRC,EQH,,10.5,11/29/2024,,,0.27,4.30%,21.08,13.95,c425,17.24,3.29,-3.84,16.89,18.16,2.08,-5.07,15.83,20.02,13.35,20.69,59.0,17.15,1.32,-2.87,36.71524,50.440945,54.62908,39.411765,-3.93,3.2,55.304348,43.825503,-3.54,3.8,46.459016,51.492537,26749,33489,61185,40475,,,,,,,,,,
ETI PR,ETR,,10,12/30/2024,,,0.34,5.38%,25.5,21.75,c525,22.79,1.04,-2.71,23.38,23.68,-2.52,-3.74,22.36,24.99,21.39,25.43,0.0,22.45,0.09,-2.54,59.058895,44.855643,83.827893,35.098039,-3.05,0.7,47.652174,66.196868,-2.98,1.06,39.114754,78.756219,1901,1476,1280,1552,,,,,,,,,,
