"PREF IBKR","CMON","BOND_","CRDT SCORE_","EX-DIV DATE","CALL DATE","MATUR DATE","DIV AMOUNT","COUPON","Aug2022_Price","Oct19_Price","CGRUP","Last Price","Oct19_diff","Aug2022_diff","SMA88","SMA268","SMA88 chg","SMA268 chg","6M Low","6M High","1Y Low","1Y High","TIME TO DIV","Div adj.price","6M_Low_diff","6M_High_diff","SMA88_chg_norm","SMA268_chg_norm","6M_Low_diff_norm","6M_High_diff_norm","Aug4_chg","Oct19_chg","Aug4_chg_norm","Oct19_chg_norm","1Y_High_diff","1Y_Low_diff","1Y_High_diff_norm","1Y_Low_diff_norm","ADV_6M","ADV_3M","ADV_15D","AVG_ADV","SOLIDITY_SCORE","CUR_YIELD","FINAL_THG","EX_DIV_DATE","TIME_TO_DIV","DIV_BONUS","SOLIDITY_WEIGHT_USED","YIELD_WEIGHT_USED"
"BAC PRN","BAC","","11","12/2/2024","","","0.3100","5.0000","23.9000","19.2500","c500","20.6200","1.3700","-3.2800","20.4700","21.6900","0.7300","-4.9500","19.3700","23.8600","19.0000","24.0400","56.0000","20.5000","1.1300","-3.3600","44.9500","50.8600","62.2300","47.2200","-3.4000","1.2500","49.9600","63.3700","-3.5400","1.5000","49.2500","75.2000","108818.0000","104076.0000","124494.0000","112463.0000","78.0400","0.0610","347.8300","2024-12-02","-214","0","0.1200","2446.8200"
"BAC PRO","BAC","","11","10/15/2024","11/3/2025","","0.2700","4.3800","21.3900","16.5400","c425","18.0800","1.5400","-3.3100","17.9700","19.1800","0.6300","-5.7600","17.1400","20.8800","16.3500","21.5400","8.0000","17.8300","0.6900","-3.0500","45.4500","54.2000","72.6700","43.0100","-3.5600","1.2900","51.3800","62.9700","-3.7100","1.4800","51.5800","75.4200","77001.0000","83654.0000","86836.0000","82497.0000","78.0400","0.0614","355.3200","2024-10-15","-262","0","0.1200","2446.8200"
"BAC PRP","BAC","","11","10/15/2024","","","0.2600","4.1200","20.8000","15.5700","c400","17.2200","1.6500","-3.5800","17.0000","18.1400","1.2800","-5.0600","16.1700","19.8400","15.4000","20.5800","8.0000","16.9800","0.8100","-2.8600","42.1700","51.3200","69.8200","40.4200","-3.8200","1.4100","53.6800","61.7900","-3.6000","1.5800","50.0700","74.3600","69462.0000","65558.0000","79791.0000","71604.0000","78.0400","0.0607","346.1900","2024-10-15","-262","0","0.1200","2446.8200"
"BAC PRQ","BAC","","11","11/1/2024","","","0.2700","4.2500","20.4600","16.1100","c425","17.5600","1.4500","-2.9000","17.4400","18.5600","0.7100","-5.4000","16.5600","20.5100","15.9800","21.0000","25.0000","17.3600","0.8000","-3.1500","45.0500","52.7200","70.0600","44.3600","-3.1000","1.2500","47.2900","63.3700","-3.6400","1.3800","50.6200","76.4700","107512.0000","109679.0000","124198.0000","113796.0000","78.0400","0.0612","352.3400","2024-11-01","-245","0","0.1200","2446.8200"
"BAC PRS","BAC","","11","11/1/2024","","","0.3000","4.7500","22.4900","18.2400","c475","19.6900","1.4500","-2.8000","19.5000","20.7700","0.9500","-5.2000","18.5500","23.0500","17.8200","23.4400","25.0000","19.4700","0.9200","-3.5800","43.8400","51.8900","67.2100","50.2000","-3.0200","1.2300","46.5800","63.5600","-3.9700","1.6500","55.1500","73.6200","46246.0000","40289.0000","47126.0000","44554.0000","78.0400","0.0610","351.7500","2024-11-01","-245","0","0.1200","2446.8200"
"BCV PRA","BCV","","16","12/16/2024","","","0.3400","5.3900","24.6900","22.1500","c525","21.8500","-0.3000","-2.8400","22.1500","22.9100","-1.3600","-4.6400","21.5100","24.7100","21.5100","25.2600","70.0000","21.7700","0.2600","-2.9400","55.5100","49.5900","82.8800","41.5100","-2.9200","-0.3800","45.6900","79.3900","-3.4900","0.2600","48.5600","88.3100","1588.0000","1522.0000","689.0000","1266.0000","59.6100","0.0619","367.9700","2024-12-16","-200","0","0.1200","2446.8200"
"BFS PRD","BFS","","NR","12/27/2024","","","0.3800","6.1300","24.1500","19.3000","c625","20.6900","1.3900","-3.4600","20.9700","21.4700","-1.3400","-3.6100","19.3000","23.7600","19.0100","23.9500","81.0000","20.6500","1.3500","-3.1100","55.4000","45.3500","57.0000","43.8200","-3.5000","1.3500","50.8400","62.3800","-3.3000","1.6400","45.9500","73.7300","3190.0000","2355.0000","808.0000","2118.0000","44.2000","0.0742","372.4200","2024-12-27","-189","0","0.1200","2446.8200"
"BFS PRE","BFS","","NR","12/27/2024","","","0.3800","6.0000","24.6000","18.9300","c600","21.5400","2.6100","-3.0600","20.8200","21.4600","3.4600","0.3500","18.3400","24.0600","18.3400","24.4900","81.0000","21.5000","3.1600","-2.5600","31.1600","29.0500","14.0400","36.3500","-3.1000","2.5700","47.2900","50.3900","-2.9900","3.1600","41.7000","57.6600","4183.0000","3929.0000","2075.0000","3395.0000","44.2000","0.0698","302.0300","2024-12-27","-189","0","0.1200","2446.8200"
"BHFAL","BHF","BB","10.5","12/2/2024","9/15/2023","","0.3900","6.2500","26.3500","20.6900","c625","19.3800","-1.3100","-6.9700","20.5000","22.5300","-5.4500","-13.9700","18.9900","25.4700","18.9900","25.4700","56.0000","19.2300","0.2400","-6.2400","76.1600","87.9800","83.3500","86.3300","-7.1200","-1.4600","82.9900","90.0000","-6.2400","0.2400","86.3000","88.5200","19641.0000","19749.0000","21182.0000","20191.0000","59.6400","0.0813","501.5100","2024-12-02","-214","0","0.1200","2446.8200"
"BHFAM","BHF","","10.5","12/6/2024","","","0.2900","4.6300","21.1300","13.3500","c450","13.3200","-0.0300","-7.8100","14.5100","16.0200","-8.1900","-16.8500","12.8800","18.7600","12.8800","18.9500","60.0000","13.2200","0.3400","-5.5400","90.0000","34.3200","80.9800","76.8300","-7.9100","-0.1300","90.0000","76.9300","-5.7300","0.3400","79.3000","87.4600","34849.0000","27548.0000","35254.0000","32550.0000","58.4700","0.0876","466.7200","2024-12-06","-210","0","0.1200","2446.8200"
