"PREF IBKR","PREF YF","CMON","FF-FR_","BOND_","CRDT SCORE_","EX-DIV DATE","CALL DATE","MATUR DATE","DIV AMOUNT","COUPON","Aug2022_Price","Oct19_Price","CMON OUTS SHARES","CMON SECTOR","LAST PRICE","TIME TO DIV","DIV ADJ.PRICE","Unnamed: 18","Unnamed: 19","Unnamed: 20","Unnamed: 21","Last Price","Oct19_diff","Aug2022_diff","SMA88","SMA268","SMA88 chg","SMA268 chg","6M Low","6M High","1Y Low","1Y High","Div adj.price","6M_Low_diff","6M_High_diff","SMA88_chg_norm","SMA268_chg_norm","6M_Low_diff_norm","6M_High_diff_norm","1Y_High_diff","1Y_Low_diff","1Y_High_diff_norm","1Y_Low_diff_norm","ADV_6M","ADV_3M","ADV_15D","AVG_ADV","SOLIDITY_SCORE","Normalized_COM_6M","Normalized_COM_3M","Normalized_52W_LOW","FINAL_THG","CS_FACTOR"
"BML PRH","BML-H","BAC","FLR","","11.00","05/15/2025","11/28/2009","NONE","0.32","3.00%","","","7537.21","Bank","","40.00","","","","","","20.31","","","21.24","22.19","-4.39","-8.48","19.73","23.45","19.17","23.45","20.13","0.40","-3.32","72.09","74.57","83.89","44.17","-3.32","0.96","46.41","84.48","16486.00","17504.00","23217.00","19069.00","76.46","58.95","74.82","84.07","75.15","1.00"
"BML PRJ","BML-J","BAC","FLR","","11.00","05/15/2025","11/21/2010","NONE","0.33","4.00%","","","7537.21","Bank","","40.00","","","","","","21.88","","","22.45","23.09","-2.54","-5.24","20.70","24.55","20.22","24.69","21.70","1.00","-2.85","65.97","64.80","76.56","39.22","-2.99","1.48","42.72","81.10","16360.00","15941.00","10207.00","14170.00","76.46","58.95","74.82","84.07","68.49","1.00"
"BML PRL","BML-L","BAC","FLR","","11.00","07/01/2025","5/21/2010","NONE","0.32","4.00%","","","7537.21","Bank","","87.00","","","","","","20.54","","","21.61","22.83","-4.97","-10.02","19.80","24.75","19.68","24.77","20.53","0.73","-4.22","74.01","79.21","79.86","53.63","-4.24","0.85","56.72","85.19","21664.00","24134.00","38392.00","28063.00","76.46","58.95","74.82","84.07","78.33","1.00"
"BOH PRB","BOH-B","BOH","","","9.50","07/14/2025","8/1/2029","NONE","0.50","8.00%","","","39.66","Regionalbank","","10.00","","","","","","26.06","","","","","","","24.81","27.13","24.81","27.13","25.62","0.81","-1.51","58.17","53.63","78.89","25.14","-1.51","0.81","26.13","85.45","19847.00","17489.00","14510.00","17282.00","48.71","46.06","47.16","73.91","55.54","1.00"
"BPOPM","BPOPM","BPOP","","TP","7.00","05/15/2025","12/1/2009","12/1/2034","0.13","6.13%","27.20","24.51","69.37","Regionalbank","","40.00","","","","","","25.10","0.59","-2.10","25.35","25.49","-1.00","-1.52","24.53","26.09","24.38","26.25","25.03","0.50","-1.06","60.87","53.59","82.67","20.41","-1.22","0.65","22.89","86.49","2224.00","2372.00","3505.00","2700.00","57.98","","","","57.55","1.00"
"C PRN","C-N","C","FF","","10.00","07/25/2025","10/30/2015","10/30/2040","0.68","7.88%","","","1868.19","Bank","","21.00","","","","","","30.05","","","29.69","29.94","1.23","0.38","28.36","31.34","27.82","31.34","29.53","1.17","-1.81","53.49","47.86","74.49","28.29","-1.81","1.71","29.50","79.61","107581.00","124750.00","113392.00","115241.00","73.06","","","","62.35","1.00"
"CCIA","CCIA","CCIF","","Term","8.00","05/19/2025","10/31/2025","10/31/2028","0.18","8.75%","","","15.39","Cef","","44.00","","","","","","25.70","","","25.59","25.80","0.43","-0.37","25.00","27.79","24.10","27.79","25.61","0.61","-2.18","56.14","50.12","81.33","32.18","-2.18","1.51","33.64","80.91","4365.00","5315.00","3491.00","4390.00","40.50","","","","50.88","1.00"
"CFG PRH","CFG-H","CFG","","","10.50","06/20/2025","7/6/2029","NONE","0.46","7.38%","","","433.40","Regionalbank","","76.00","","","","","","26.42","","","26.12","26.42","1.16","-0.02","24.95","27.69","24.95","27.69","26.35","1.40","-1.34","53.72","49.07","71.68","23.35","-1.34","1.40","24.23","81.62","27606.00","27213.00","26771.00","27197.00","59.23","47.06","56.08","78.32","54.66","1.00"
"CGBDL","CGBDL","CGBD","","","8.00","05/15/2025","","","0.51","","","","72.90","Assetmanagement","","40.00","","","","","","25.90","","","25.65","25.67","0.97","0.89","25.05","26.66","25.05","26.66","25.62","0.57","-1.04","54.35","46.32","81.82","20.20","-1.04","0.57","20.87","87.01","8288.00","5670.00","4660.00","6206.00","45.91","","","","49.84","1.00"
"CHMI PRA","CHMI-A","CHMI","","","8.00","06/27/2025","8/17/2022","NONE","0.51","8.20%","22.65","19.60","32.66","Reit","","83.00","","","","","","20.85","1.25","-1.80","21.37","22.60","-2.42","-7.73","19.20","24.40","17.75","25.00","20.81","1.61","-3.59","65.57","72.31","69.11","47.00","-4.19","3.06","56.16","70.84","2787.00","2543.00","3303.00","2878.00","34.82","","","","62.30","1.00"
"CHMI PRB","CHMI-B","CHMI","FF","","8.00","06/27/2025","4/5/2024","NONE","0.64","8.25%","","","32.66","Reit","","83.00","","","","","","23.61","","","24.06","24.54","-1.88","-3.78","22.23","25.10","20.20","25.60","23.56","1.33","-1.54","63.79","60.40","72.53","25.45","-2.04","3.36","32.07","68.90","4094.00","3534.00","1590.00","3072.00","34.82","","","","56.83","1.00"
"CHSCL","CHSCL","-","","","8.00","06/13/2025","1/21/2025","NONE","0.47","7.50%","27.30","25.07","-","-","","69.00","","","","","","25.43","0.36","-1.87","25.67","25.85","-0.94","-1.64","25.15","26.42","24.92","26.63","25.32","0.17","-1.10","60.67","53.95","86.70","20.83","-1.31","0.40","23.89","88.12","22421.00","24992.00","25431.00","24281.00","53.11","","","","57.99","1.00"
"CHSCM","CHSCM","-","","","8.00","06/13/2025","9/30/2024","NONE","0.42","6.75%","26.40","24.05","-","-","","69.00","","","","","","24.02","-0.03","-2.38","24.68","25.07","-2.67","-4.20","23.72","25.97","23.51","26.19","23.92","0.20","-2.05","66.40","61.67","86.34","30.81","-2.27","0.41","34.65","88.05","18517.00","19543.00","26738.00","21600.00","53.11","","","","63.20","1.00"
"CHSCN","CHSCN","-","","","8.00","06/13/2025","3/31/2024","NONE","0.44","7.10%","26.30","24.62","-","-","","69.00","","","","","","24.76","0.14","-1.54","25.16","25.49","-1.59","-2.88","24.35","26.39","24.35","26.90","24.66","0.31","-1.73","62.83","57.69","84.99","27.45","-2.24","0.31","34.31","88.70","14771.00","16293.00","27795.00","19620.00","53.11","","","","60.06","1.00"
"CHSCO","CHSCO","-","","","8.00","06/13/2025","9/26/2023","NONE","0.49","7.88%","28.31","25.64","-","-","","69.00","","","","","","26.21","0.57","-2.10","26.39","26.67","-0.70","-1.73","25.60","27.40","25.46","27.73","26.10","0.50","-1.30","59.88","54.22","82.67","22.93","-1.63","0.64","27.48","86.56","18574.00","19936.00","28185.00","22232.00","53.11","","","","57.65","1.00"
"CICB","CICB","CION","","","8.00","06/12/2025","12/30/2026","12/30/2029","0.47","7.50%","","","52.69","Assetmanagement","","68.00","","","","","","24.75","","","","","","","24.32","26.03","24.32","163.10","24.64","0.32","-1.39","58.17","53.63","84.87","23.88","-138.46","0.32","","88.64","16802.00","7784.00","5640.00","10075.00","41.18","","","","53.58","1.00"
"CIM PRB","CIM-B","CIM","FF","","8.00","06/02/2025","3/30/2024","NONE","0.65","8.00%","","","80.92","Reit","","58.00","","","","","","25.05","","","24.34","24.75","2.92","1.21","21.60","25.59","19.64","25.59","24.82","3.22","-0.77","47.90","45.36","49.45","17.36","-0.77","5.18","17.84","57.08","26378.00","34056.00","25635.00","28690.00","38.27","52.39","62.26","87.65","46.75","1.00"
"CIM PRC","CIM-C","CIM","NFF","","8.00","06/02/2025","9/30/2025","NONE","0.48","7.75%","","","80.92","Reit","","58.00","","","","","","22.77","","","22.65","22.87","0.54","-0.44","20.26","24.60","17.11","24.60","22.60","2.34","-2.00","55.78","50.33","60.20","30.29","-2.00","5.49","31.62","55.06","17154.00","15969.00","12407.00","15177.00","38.27","52.39","62.26","87.65","51.05","1.00"
"CIM PRD","CIM-D","CIM","FF","","8.00","06/02/2025","3/30/2024","NONE","0.64","8.00%","","","80.92","Reit","","58.00","","","","","","24.46","","","24.05","24.47","1.68","-0.04","20.77","25.21","19.91","25.25","24.23","3.46","-0.98","52.00","49.13","46.52","19.57","-1.02","4.32","20.64","62.66","19904.00","19077.00","14994.00","17992.00","38.27","52.39","62.26","87.65","49.23","1.00"
