PREF IBKR,CMON,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,CGRUP,Last Price,Oct19_diff,Aug2022_diff,SMA88,SMA268,SMA88 chg,SMA268 chg,6M Low,6M High,1Y Low,1Y High,TIME TO DIV,Div adj.price,6M_Low_diff,6M_High_diff,SMA88_chg_norm,SMA268_chg_norm,6M_Low_diff_norm,6M_High_diff_norm,Aug4_chg,Oct19_chg,Aug4_chg_norm,Oct19_chg_norm,1Y_High_diff,1Y_Low_diff,1Y_High_diff_norm,1Y_Low_diff_norm,ADV_6M,ADV_3M,ADV_15D,AVG_ADV,SOLIDITY_SCORE,CUR_YIELD,FINAL_THG,SOLIDITY_WEIGHT_USED,YIELD_WEIGHT_USED,Group
PSA PRL,PSA,,13.5,12/12/2024,,,0.29,4.63,24.84,18.17,c450,18.58,0.41,-6.26,18.93,20.23,-1.84,-8.16,17.52,22.75,17.52,22.89,72.0,18.52,1.0,-4.23,55.76,63.42,62.23,57.19,-6.32,0.35,76.09,69.33,-4.37,1.0,57.34,79.35,29812.0,26880.0,29821.0,28838.0,71.49,0.0625,433.14,1.12,2103.86,2
PSA PRM,PSA,,13.5,12/12/2024,,,0.26,4.13,22.79,16.05,c400,16.58,0.53,-6.21,16.95,18.23,-2.21,-9.07,16.11,20.52,15.82,20.79,72.0,16.53,0.42,-3.99,57.55,67.24,75.99,54.05,-6.26,0.48,75.57,68.17,-4.26,0.71,55.9,82.24,9087.0,8769.0,11110.0,9655.0,71.49,0.0625,441.61,1.12,2103.86,2
PSA PRN,PSA,,13.5,12/12/2024,,,0.24,3.88,21.02,15.12,c400,15.57,0.45,-5.45,15.9,16.99,-2.05,-8.33,15.1,19.12,14.9,19.23,72.0,15.52,0.42,-3.6,56.78,64.13,75.99,48.95,-5.5,0.4,68.96,68.88,-3.71,0.62,48.69,83.13,17249.0,18548.0,25800.0,20532.0,71.49,0.0625,433.48,1.12,2103.86,2
PSA PRO,PSA,,13.5,12/12/2024,11/17/2025,,0.24,3.9,20.29,15.53,c400,15.61,0.08,-4.68,15.96,17.06,-2.18,-8.49,15.07,18.97,15.07,19.13,72.0,15.56,0.49,-3.41,57.41,64.8,74.33,46.47,-4.73,0.03,62.26,72.19,-3.57,0.49,46.85,84.43,16880.0,17388.0,35804.0,23357.0,71.49,0.0627,433.24,1.12,2103.86,2
PSA PRP,PSA,,13.5,12/12/2024,,,0.25,4.0,20.88,15.54,c400,16.01,0.47,-4.87,16.31,17.52,-1.83,-8.64,15.39,19.76,15.37,19.99,72.0,15.96,0.57,-3.8,55.71,65.43,72.43,51.57,-4.92,0.42,63.91,68.7,-4.03,0.59,52.89,83.43,41742.0,37594.0,47190.0,42175.0,71.49,0.0627,434.76,1.12,2103.86,2
PSA PRQ,PSA,,13.5,12/12/2024,,,0.25,3.95,20.84,15.31,c400,15.83,0.52,-5.01,16.06,17.24,-1.43,-8.19,15.3,19.28,15.17,19.47,72.0,15.78,0.48,-3.5,53.76,63.54,74.57,47.65,-5.06,0.47,65.13,68.26,-3.69,0.61,48.43,83.23,13333.0,13342.0,18760.0,15145.0,71.49,0.0626,429.48,1.12,2103.86,2
PSA PRR,PSA,,13.5,12/12/2024,,,0.25,4.0,20.78,15.59,c400,15.99,0.4,-4.79,16.29,17.58,-1.86,-9.05,15.45,19.99,15.38,20.16,72.0,15.94,0.49,-4.05,55.85,67.15,74.33,54.84,-4.84,0.35,63.22,69.33,-4.22,0.56,55.38,83.73,31482.0,30954.0,48648.0,37028.0,71.49,0.0627,439.28,1.12,2103.86,2
PSA PRS,PSA,,13.5,12/12/2024,,,0.26,4.1,21.15,15.83,c400,16.37,0.54,-4.78,16.66,18.0,-1.74,-9.04,14.18,20.44,14.18,20.47,72.0,16.32,2.14,-4.12,55.27,67.11,35.16,55.75,-4.83,0.49,63.13,68.08,-4.15,2.14,54.46,68.01,16040.0,17642.0,12558.0,15413.0,71.49,0.0628,418.37,1.12,2103.86,2
PSEC PRA,PSEC,,9,10/16/2024,7/19/2026,,0.33,5.35,19.55,15.21,c525,15.75,0.54,-3.8,16.27,17.55,-3.21,-10.24,14.58,21.54,14.04,21.54,15.0,15.47,0.89,-6.07,62.41,72.15,64.84,81.24,-4.08,0.26,56.61,70.13,-6.07,1.43,79.64,75.07,8170.0,7482.0,6654.0,7435.0,37.91,0.0865,470.05,1.12,2103.86,3
REGCO,REG,,NR,10/16/2024,,,0.37,5.88,,21.85,c575,22.42,0.57,,22.41,22.75,0.04,-1.45,21.43,24.7,21.2,24.9,15.0,22.11,0.68,-2.59,46.62,35.24,69.82,35.75,,0.26,41.62,70.13,-2.79,0.91,36.62,80.25,5701.0,4926.0,3073.0,4567.0,59.88,0.0665,380.21,1.12,2103.86,11
