PREF IBKR,CMON,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,CGRUP,Last Price,Oct19_diff,Aug2022_diff,SMA88,SMA268,SMA88 chg,SMA268 chg,6M Low,6M High,1Y Low,1Y High,TIME TO DIV,Div adj.price,6M_Low_diff,6M_High_diff,SMA88_chg_norm,SMA268_chg_norm,6M_Low_diff_norm,6M_High_diff_norm,Aug4_chg,Oct19_chg,Aug4_chg_norm,Oct19_chg_norm,1Y_High_diff,1Y_Low_diff,1Y_High_diff_norm,1Y_Low_diff_norm,ADV_6M,ADV_3M,ADV_15D,AVG_ADV,SOLIDITY_SCORE,CUR_YIELD,FINAL_THG,SOLIDITY_WEIGHT_USED,YIELD_WEIGHT_USED,Group
F PRB,F,BB,9.5,11/12/2024,6/1/2024,,0.39,6.2,26.79,20.83,c625,21.5,0.67,-5.29,21.35,23.28,0.71,-7.64,19.85,25.39,19.85,25.64,42.0,21.29,1.44,-4.1,43.37,61.23,51.78,55.49,-5.5,0.46,68.96,68.34,-4.35,1.44,57.08,74.98,43765.0,45803.0,48778.0,46115.0,55.84,0.0728,420.12,1.12,2103.86,9
F PRC,F,BB,9,11/12/2024,12/1/2024,,0.38,6.0,25.99,20.49,c600,21.34,0.85,-4.65,20.94,22.9,1.9,-6.8,19.2,25.02,19.2,25.38,42.0,21.14,1.94,-3.88,37.59,57.71,39.91,52.61,-4.85,0.65,63.3,66.64,-4.24,1.94,55.64,70.0,46984.0,44923.0,32399.0,41435.0,55.84,0.071,400.4,1.12,2103.86,9
FBRT PRE,FBRT,,NR,12/27/2024,,,0.47,7.5,21.68,18.2,c750,21.1,2.9,-0.58,20.62,21.43,2.34,-1.56,19.05,23.65,18.03,23.65,87.0,21.08,2.03,-2.57,35.45,35.7,37.77,35.49,-0.6,2.88,26.35,46.69,-2.57,3.05,33.74,58.96,13477.0,11659.0,7211.0,10782.0,23.6,0.0889,348.86,1.12,2103.86,5
FCNCO,FCNCA,,9.5,11/27/2024,,,0.35,5.63,24.08,19.4,c550,23.26,3.86,-0.82,22.25,22.91,4.54,1.52,20.57,24.81,18.91,24.83,57.0,23.13,2.56,-1.68,24.77,22.77,25.19,23.86,-0.95,3.73,29.39,39.08,-1.7,4.22,22.33,47.31,12682.0,13862.0,23155.0,16566.0,59.36,0.0609,292.66,1.12,2103.86,1
FCNCP,FCNCA,,9.5,11/27/2024,,,0.34,5.38,23.66,18.85,c525,21.6,2.75,-2.06,21.36,22.32,1.14,-3.21,19.3,24.42,18.69,24.42,57.0,21.48,2.18,-2.94,41.28,42.63,34.21,40.33,-2.18,2.63,40.09,48.93,-2.94,2.79,38.59,61.54,15429.0,19683.0,23231.0,19448.0,59.36,0.0626,349.68,1.12,2103.86,1
FHN PRF,FHN,,8.5,12/20/2024,,,0.29,4.7,,,c475,17.35,,,17.5,18.33,-0.88,-5.36,16.41,21.48,13.13,21.48,80.0,17.32,0.91,-4.16,51.09,51.66,64.36,56.27,,,41.62,43.84,-4.16,4.19,54.59,47.61,6813.0,5474.0,8040.0,6776.0,56.98,0.0678,386.46,1.12,2103.86,6
FITBO,FITB,,10.5,12/26/2024,,,0.31,4.95,25.79,17.93,c500,19.82,1.89,-5.97,21.3,21.71,-6.94,-8.7,19.52,24.15,17.58,24.15,86.0,19.81,0.29,-4.34,80.53,65.69,79.08,58.63,-5.98,1.88,73.13,55.64,-4.34,2.23,56.95,67.11,20069.0,21442.0,24469.0,21993.0,61.88,0.0625,435.43,1.12,2103.86,10
FITBP,FITB,,NR,12/26/2024,,,0.38,6.0,25.6,22.13,c600,24.4,2.27,-1.2,24.4,24.49,-0.01,-0.37,23.04,25.56,21.01,25.9,86.0,24.38,1.34,-1.18,46.87,30.7,54.15,17.32,-1.22,2.25,31.74,52.33,-1.52,3.37,19.97,55.77,8135.0,9050.0,8836.0,8674.0,61.88,0.0615,332.43,1.12,2103.86,4
FRT PRC,FRT,,12.5,1/2/2025,,,0.31,5.0,25.75,19.64,c500,20.3,0.66,-5.45,20.61,21.39,-1.53,-5.08,19.41,23.27,18.57,23.9,3.0,20.0,0.59,-3.27,54.25,50.48,71.96,44.64,-5.75,0.36,71.13,69.24,-3.9,1.43,51.18,75.07,5989.0,5439.0,2033.0,4487.0,41.14,0.0625,380.75,1.12,2103.86,2
FULTP,FULT,,11,12/2/2024,,,0.32,5.13,23.1,15.09,c500,18.19,3.1,-4.91,19.02,19.25,-4.34,-5.51,17.25,21.22,14.56,21.22,62.0,18.09,0.84,-3.13,67.9,52.29,66.02,42.81,-5.01,3.0,64.7,45.62,-3.13,3.53,41.08,54.18,8553.0,6299.0,8954.0,7935.0,54.63,0.0709,399.52,1.12,2103.86,1
GAB PRG,GAB,,16,12/16/2024,,,0.31,5.0,24.5,21.0,c500,20.52,-0.48,-3.98,21.09,21.81,-2.7,-5.92,20.17,24.0,20.17,24.2,76.0,20.47,0.3,-3.53,59.93,54.01,78.84,48.04,-4.03,-0.53,56.17,77.2,-3.73,0.3,48.95,86.32,4073.0,4911.0,2322.0,3769.0,66.23,0.0611,420.01,1.12,2103.86,7
GAB PRH,GAB,,16,12/16/2024,,,0.31,5.0,23.89,20.98,c500,20.57,-0.41,-3.32,21.08,21.85,-2.43,-5.87,20.39,24.03,20.39,24.24,76.0,20.52,0.13,-3.51,58.62,53.8,82.88,47.78,-3.37,-0.46,50.43,76.58,-3.72,0.13,48.82,88.01,9143.0,10262.0,12839.0,10748.0,66.23,0.0609,419.39,1.12,2103.86,7
GAB PRK,GAB,,16,12/16/2024,,,0.31,5.0,24.4,21.23,c500,20.54,-0.69,-3.86,21.1,21.86,-2.64,-6.04,20.48,24.17,20.48,24.25,76.0,20.49,0.01,-3.68,59.64,54.51,85.73,50.0,-3.91,-0.74,55.13,79.08,-3.76,0.01,49.34,89.2,7201.0,8169.0,10328.0,8566.0,66.23,0.061,424.94,1.12,2103.86,7
GDV PRH,GDV,,17,12/16/2024,,,0.34,5.38,25.85,22.55,c525,22.45,-0.1,-3.4,23.23,23.67,-3.34,-5.14,22.35,25.15,22.0,25.34,76.0,22.4,0.05,-2.75,63.04,50.73,84.78,37.84,-3.45,-0.15,51.13,73.8,-2.94,0.4,38.59,85.32,2991.0,3324.0,3297.0,3204.0,72.25,0.06,415.82,1.12,2103.86,7
GDV PRK,GDV,,17,12/13/2024,,,0.27,4.25,20.82,17.65,c425,18.09,0.44,-2.73,18.48,19.12,-2.09,-5.39,17.96,21.31,16.96,21.49,73.0,18.04,0.08,-3.27,56.97,51.78,84.07,44.64,-2.78,0.39,45.3,68.97,-3.45,1.08,45.28,78.56,7732.0,8359.0,4963.0,7018.0,72.25,0.0589,409.86,1.12,2103.86,4
GGN PRB,GGN,,15,12/16/2024,5/7/2018,,0.31,5.0,23.67,21.38,c500,20.35,-1.03,-3.32,20.73,21.37,-1.81,-4.79,19.84,23.88,19.84,24.15,76.0,20.3,0.46,-3.58,55.61,49.27,75.04,48.69,-3.37,-1.08,50.43,82.13,-3.85,0.46,50.52,84.73,8074.0,9189.0,3836.0,7033.0,68.77,0.0616,416.42,1.12,2103.86,7
GGT PRE,GGT,,15,12/16/2024,,,0.32,5.13,24.85,22.98,c500,22.91,-0.07,-1.94,22.82,23.0,0.38,-0.39,22.25,24.63,21.41,24.7,76.0,22.86,0.61,-1.77,44.97,30.79,71.48,25.03,-1.99,-0.12,38.43,73.53,-1.84,1.45,24.16,74.88,657.0,567.0,361.0,528.0,50.3,0.0561,333.36,1.12,2103.86,0
GGT PRG,GGT,,15,12/16/2024,12/20/2024,,0.32,5.13,24.59,22.95,c500,22.65,-0.3,-1.94,22.69,22.96,-0.16,-1.36,22.25,24.47,21.87,24.47,76.0,22.6,0.35,-1.87,47.6,34.86,77.66,26.34,-1.99,-0.35,38.43,75.59,-1.87,0.73,24.56,82.04,883.0,1022.0,513.0,806.0,50.3,0.0567,346.3,1.12,2103.86,0
GNT PRA,GNT,,15,11/15/2024,,,0.33,5.2,24.55,21.53,c525,21.49,-0.05,-3.07,21.69,22.21,-0.96,-3.28,21.33,24.01,21.17,24.3,45.0,21.32,-0.01,-2.69,51.48,42.92,86.2,37.06,-3.23,-0.21,49.22,74.34,-2.98,0.15,39.11,87.81,800.0,619.0,138.0,519.0,67.19,0.061,399.59,1.12,2103.86,7
GPJA,SO,BB,11.5,12/27/2024,,,0.31,5.0,25.62,20.82,c500,20.92,0.1,-4.7,22.15,23.36,-5.55,-10.44,20.7,24.98,20.58,25.66,87.0,20.91,0.21,-4.07,73.78,72.99,80.98,55.1,-4.71,0.09,62.09,71.66,-4.75,0.33,62.33,86.02,16536.0,12256.0,16104.0,14965.0,80.08,0.0598,465.19,1.12,2103.86,2
GRBK PRA,GRBK,,NR,11/25/2024,,,0.36,5.75,22.08,17.93,c550,23.5,5.57,1.42,22.83,23.12,2.95,1.62,21.06,24.6,17.15,25.0,55.0,23.36,2.3,-1.24,32.49,22.35,31.36,18.1,1.28,5.43,10.0,23.87,-1.64,6.21,21.54,27.51,3508.0,2948.0,4178.0,3544.0,25.9,0.0615,243.92,1.12,2103.86,0
GUT PRC,GUT,,16,12/16/2024,,,0.34,5.38,25.39,23.02,c525,22.42,-0.6,-2.97,23.79,24.21,-5.75,-7.41,22.36,25.0,22.33,25.56,76.0,22.37,0.01,-2.63,74.75,60.27,85.73,36.27,-3.02,-0.65,47.39,78.28,-3.19,0.04,41.87,88.91,1493.0,1944.0,3497.0,2312.0,63.62,0.0601,425.22,1.12,2103.86,0
HBANM,HBAN,,9,11/15/2024,12/1/2022,,0.36,5.7,25.47,17.8,c550,22.13,4.33,-3.34,22.43,23.01,-1.36,-3.82,21.38,25.39,17.68,25.39,45.0,21.95,0.57,-3.44,53.42,45.19,72.43,46.86,-3.52,4.15,51.74,35.32,-3.44,4.27,45.15,46.82,10934.0,8385.0,6003.0,8441.0,61.43,0.0649,375.82,1.12,2103.86,1
HBANP,HBAN,,10,1/2/2025,,,0.28,4.5,20.81,14.07,c450,17.53,3.46,-3.28,17.55,18.35,-0.1,-4.47,16.22,20.65,13.71,20.74,3.0,17.26,1.04,-3.39,47.3,47.92,61.28,46.21,-3.55,3.19,52.0,43.91,-3.48,3.55,45.67,53.98,39294.0,39452.0,43857.0,40868.0,61.43,0.0652,377.13,1.12,2103.86,8
HFRO PRA,HFRO,,16,12/20/2024,,,0.34,5.38,23.45,17.01,c525,15.92,-1.09,-7.53,15.68,17.55,1.51,-9.28,14.5,20.9,14.5,21.09,80.0,15.88,1.38,-5.02,39.48,68.12,53.2,67.52,-7.57,-1.13,86.96,82.57,-5.21,1.38,68.36,75.57,19004.0,15703.0,13128.0,15945.0,55.58,0.0847,465.41,1.12,2103.86,7
HIG PRG,HIG,,11,11/1/2024,11/15/2023,,0.38,6.0,26.6,22.89,c600,25.09,2.2,-1.51,24.89,25.04,0.79,0.21,23.99,25.53,22.76,25.6,31.0,24.84,0.85,-0.69,42.98,28.27,65.79,10.92,-1.76,1.95,36.43,55.01,-0.76,2.08,10.0,68.61,17845.0,15761.0,15624.0,16410.0,71.6,0.0604,341.91,1.12,2103.86,4
