"PREF IBKR","CMON","BOND_","CRDT SCORE_","EX-DIV DATE","CALL DATE","MATUR DATE","DIV AMOUNT","COUPON","Aug2022_Price","Oct19_Price","CGRUP","Last Price","Oct19_diff","Aug2022_diff","SMA88","SMA268","SMA88 chg","SMA268 chg","6M Low","6M High","1Y Low","1Y High","TIME TO DIV","Div adj.price","6M_Low_diff","6M_High_diff","SMA88_chg_norm","SMA268_chg_norm","6M_Low_diff_norm","6M_High_diff_norm","Aug4_chg","Oct19_chg","Aug4_chg_norm","Oct19_chg_norm","1Y_High_diff","1Y_Low_diff","1Y_High_diff_norm","1Y_Low_diff_norm","ADV_6M","ADV_3M","ADV_15D","AVG_ADV","SOLIDITY_SCORE","CUR_YIELD","FINAL_THG","SOLIDITY_WEIGHT_USED","YIELD_WEIGHT_USED"
"GPJA","SO","BB","11.5","12/27/2024","","","0.3100","5.0000","25.6200","20.8200","c500","20.9200","0.1000","-4.7000","22.1500","23.3600","-5.5500","-10.4400","20.7000","24.9800","20.5800","25.6600","87.0000","20.9100","0.2100","-4.0700","73.7800","72.9900","80.9800","55.1000","-4.7100","0.0900","62.0900","71.6600","-4.7500","0.3300","62.3300","86.0200","16536.0000","12256.0000","16104.0000","14965.0000","80.0800","0.0598","465.1900","1.1200","2103.8600"
"GRBK PRA","GRBK","","NR","11/25/2024","","","0.3600","5.7500","22.0800","17.9300","c550","23.5000","5.5700","1.4200","22.8300","23.1200","2.9500","1.6200","21.0600","24.6000","17.1500","25.0000","55.0000","23.3600","2.3000","-1.2400","32.4900","22.3500","31.3600","18.1000","1.2800","5.4300","10.0000","23.8700","-1.6400","6.2100","21.5400","27.5100","3508.0000","2948.0000","4178.0000","3544.0000","25.9000","0.0615","243.9200","1.1200","2103.8600"
"GUT PRC","GUT","","16","12/16/2024","","","0.3400","5.3800","25.3900","23.0200","c525","22.4200","-0.6000","-2.9700","23.7900","24.2100","-5.7500","-7.4100","22.3600","25.0000","22.3300","25.5600","76.0000","22.3700","0.0100","-2.6300","74.7500","60.2700","85.7300","36.2700","-3.0200","-0.6500","47.3900","78.2800","-3.1900","0.0400","41.8700","88.9100","1493.0000","1944.0000","3497.0000","2312.0000","63.6200","0.0601","425.2200","1.1200","2103.8600"
"HBANM","HBAN","","9","11/15/2024","12/1/2022","","0.3600","5.7000","25.4700","17.8000","c550","22.1300","4.3300","-3.3400","22.4300","23.0100","-1.3600","-3.8200","21.3800","25.3900","17.6800","25.3900","45.0000","21.9500","0.5700","-3.4400","53.4200","45.1900","72.4300","46.8600","-3.5200","4.1500","51.7400","35.3200","-3.4400","4.2700","45.1500","46.8200","10934.0000","8385.0000","6003.0000","8441.0000","61.4300","0.0649","375.8200","1.1200","2103.8600"
"HBANP","HBAN","","10","1/2/2025","","","0.2800","4.5000","20.8100","14.0700","c450","17.5300","3.4600","-3.2800","17.5500","18.3500","-0.1000","-4.4700","16.2200","20.6500","13.7100","20.7400","3.0000","17.2600","1.0400","-3.3900","47.3000","47.9200","61.2800","46.2100","-3.5500","3.1900","52.0000","43.9100","-3.4800","3.5500","45.6700","53.9800","39294.0000","39452.0000","43857.0000","40868.0000","61.4300","0.0652","377.1300","1.1200","2103.8600"
"HFRO PRA","HFRO","","16","12/20/2024","","","0.3400","5.3800","23.4500","17.0100","c525","15.9200","-1.0900","-7.5300","15.6800","17.5500","1.5100","-9.2800","14.5000","20.9000","14.5000","21.0900","80.0000","15.8800","1.3800","-5.0200","39.4800","68.1200","53.2000","67.5200","-7.5700","-1.1300","86.9600","82.5700","-5.2100","1.3800","68.3600","75.5700","19004.0000","15703.0000","13128.0000","15945.0000","55.5800","0.0847","465.4100","1.1200","2103.8600"
"HIG PRG","HIG","","11","11/1/2024","11/15/2023","","0.3800","6.0000","26.6000","22.8900","c600","25.0900","2.2000","-1.5100","24.8900","25.0400","0.7900","0.2100","23.9900","25.5300","22.7600","25.6000","31.0000","24.8400","0.8500","-0.6900","42.9800","28.2700","65.7900","10.9200","-1.7600","1.9500","36.4300","55.0100","-0.7600","2.0800","10.0000","68.6100","17845.0000","15761.0000","15624.0000","16410.0000","71.6000","0.0604","341.9100","1.1200","2103.8600"
"HWCPZ","HWC","BB","11","11/27/2024","6/15/2025","","0.3900","6.2500","26.5600","22.4500","c625","23.5800","1.1300","-2.9800","23.7800","24.0500","-0.8200","-1.9700","22.2100","25.4200","21.0500","26.1900","57.0000","23.4400","1.2300","-1.9800","50.8000","37.4200","56.7700","27.7800","-3.1200","0.9900","48.2600","63.6000","-2.7500","2.3900","36.1000","65.5200","7674.0000","7819.0000","6067.0000","7187.0000","61.0100","0.0667","371.6800","1.1200","2103.8600"
"INN PRE","INN","","NR","11/13/2024","11/13/2022","","0.3900","6.2500","21.2200","18.1400","c625","18.1700","0.0300","-3.0500","19.2400","20.3400","-5.5700","-10.6700","17.3000","21.7700","17.3000","22.4800","43.0000","17.9700","0.6700","-3.8000","73.8700","73.9600","70.0600","51.5700","-3.2500","-0.1700","49.3900","73.9800","-4.5100","0.6700","59.1800","82.6400","9255.0000","5830.0000","4580.0000","6555.0000","36.5700","0.0870","465.5600","1.1200","2103.8600"
"INN PRF","INN","","NR","11/13/2024","8/12/2026","","0.3700","5.8800","21.0200","18.0700","c575","17.8600","-0.2100","-3.1600","18.6500","19.9100","-4.2500","-10.2900","17.0300","22.0000","16.7500","22.0000","43.0000","17.6700","0.6400","-4.3300","67.4600","72.3600","70.7700","58.5000","-3.3500","-0.4000","50.2600","76.0400","-4.3300","0.9200","56.8200","80.1500","4635.0000","3536.0000","4854.0000","4341.0000","36.5700","0.0832","453.9000","1.1200","2103.8600"
"JPM PRC","JPM","","11.5","10/29/2024","3/1/2024","","0.3800","6.0000","26.1000","24.1100","c600","25.2800","1.1700","-0.8200","25.1400","25.2700","0.5700","0.0500","24.7400","25.7600","23.8700","25.8200","28.0000","25.0200","0.2800","-0.7400","44.0500","28.9400","79.3200","11.5700","-1.0800","0.9100","30.5200","64.3200","-0.8000","1.1500","10.5200","77.8600","118908.0000","125651.0000","130247.0000","124936.0000","81.9200","0.0600","364.9000","1.1200","2103.8600"
"JPM PRD","JPM","","11.5","10/29/2024","12/1/2023","","0.3600","5.7500","25.7500","23.3000","c550","24.5400","1.2400","-1.2100","24.5300","24.9100","0.0200","-1.4900","23.8200","25.5600","22.8300","25.6700","28.0000","24.2900","0.4700","-1.2700","46.7200","35.4100","74.8100","18.5000","-1.4600","0.9900","33.8300","63.6000","-1.3800","1.4600","18.1300","74.7800","108175.0000","117213.0000","143413.0000","122934.0000","81.9200","0.0592","373.2000","1.1200","2103.8600"
"JPM PRJ","JPM","","11.5","10/29/2024","","","0.3000","4.7500","23.7400","19.3800","c475","20.1600","0.7800","-3.5800","20.3000","21.5000","-0.6800","-6.2500","19.3600","23.9800","19.0200","24.8500","28.0000","19.9500","0.5900","-4.0300","50.1200","55.4000","71.9600","54.5800","-3.7900","0.5700","54.0900","67.3600","-4.9000","0.9300","64.3000","80.0500","71054.0000","71924.0000","62657.0000","68545.0000","81.9200","0.0595","428.6300","1.1200","2103.8600"
"JPM PRL","JPM","","11.5","10/29/2024","","","0.2900","4.6300","21.6200","18.9400","c450","19.5900","0.6500","-2.0300","19.7100","20.8900","-0.6300","-6.2400","18.8800","23.1200","18.7100","23.4400","28.0000","19.3900","0.5100","-3.7300","49.8800","55.3500","73.8600","50.6500","-2.2300","0.4500","40.5200","68.4300","-4.0500","0.6800","53.1500","82.5400","143066.0000","131269.0000","161592.0000","145309.0000","81.9200","0.0597","423.2700","1.1200","2103.8600"
"JPM PRM","JPM","","11.5","10/29/2024","","","0.2600","4.2000","20.7000","17.1700","c425","17.9600","0.7900","-2.7400","18.1300","19.1600","-0.9200","-6.2600","17.2500","21.2400","16.9600","21.6800","28.0000","17.7800","0.5300","-3.4600","51.2900","55.4400","73.3800","47.1200","-2.9200","0.6100","46.5200","67.0000","-3.9000","0.8200","51.1800","81.1400","187185.0000","164882.0000","185220.0000","179095.0000","81.9200","0.0591","420.8400","1.1200","2103.8600"
"JSM","NAVI","BB","7.5","12/13/2024","","","0.3800","6.0000","23.5000","16.7000","c600","18.8200","2.1200","-4.6800","18.4200","19.2800","2.1900","-2.3700","16.5100","20.8300","16.0600","21.8200","73.0000","18.7500","2.2400","-2.0800","36.1800","39.1000","32.7900","29.0800","-4.7500","2.0500","62.4300","54.1200","-3.0700","2.6900","40.3000","62.5400","14958.0000","13581.0000","14093.0000","14210.0000","43.1700","0.0800","364.1000","1.1200","2103.8600"
