PREF IBKR,PREF YF,CMON,FF-FR_,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,CMON OUTS SHARES,CMON SECTOR,LAST PRICE,TIME TO DIV,DIV ADJ.PRICE,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Last Price,Oct19_diff,Aug2022_diff,SMA88,SMA268,SMA88 chg,SMA268 chg,6M Low,6M High,1Y Low,1Y High,Div adj.price,6M_Low_diff,6M_High_diff,SMA88_chg_norm,SMA268_chg_norm,6M_Low_diff_norm,6M_High_diff_norm,1Y_High_diff,1Y_Low_diff,1Y_High_diff_norm,1Y_Low_diff_norm,ADV_6M,ADV_3M,ADV_15D,AVG_ADV
CHSCN,CHSCN,-,,,8.0,06/13/2025,3/31/2024,NONE,0.44,7.10%,26.3,24.62,-,-,,11.0,,,,,,25.15,0.82,-0.86,25.32,25.58,0.47,-0.54,24.48,26.59,24.41,26.9,25.05,0.57,-1.54,37.889908,45.219056,73.738318,28.319605,-1.85,0.64,28.156028,84.101961,13434,13142,9930,12169
CHSCO,CHSCO,-,,,8.0,06/13/2025,9/26/2023,NONE,0.49,7.88%,28.31,25.64,-,-,,11.0,,,,,,27.16,1.45,-1.22,26.38,26.69,2.68,1.5,25.6,27.44,25.46,27.73,26.66,1.06,-0.78,28.348624,38.277329,64.579439,18.30313,-1.07,1.2,19.304965,80.588235,17090,18989,18587,18222
CICB,CICB,CION,,,8.0,06/12/2025,12/30/2026,12/30/2029,0.47,7.50%,,,52.69,Assetmanagement,,10.0,,,,,,24.8,,,,,,,24.32,163.1,24.32,163.1,24.16,-0.16,-138.94,,,87.383178,,-138.94,-0.16,,89.121569,17887,12553,5050,11830
CIM PRB,CIM-B,CIM,FF,,8.0,06/02/2025,3/30/2024,NONE,0.65,8.00%,,,80.92,Reit,,0.0,,,,,,24.33,,,24.49,24.78,1.37,0.18,21.6,25.59,19.26,25.59,24.17,2.57,-1.42,34.004317,42.769034,36.35514,26.738056,-1.42,4.91,23.276596,57.309804,26143,32147,19496,25929
CIM PRC,CIM-C,CIM,NFF,,8.0,06/02/2025,9/30/2025,NONE,0.48,7.75%,,,80.92,Reit,,0.0,,,,,,22.45,,,22.84,22.81,-0.34,-0.23,20.26,24.6,17.11,24.6,22.28,2.02,-2.32,41.38694,44.164185,46.635514,38.599671,-2.32,5.17,33.489362,55.678431,18203,16663,14402,16423
CIM PRD,CIM-D,CIM,FF,,8.0,06/02/2025,3/30/2024,NONE,0.64,8.00%,,,80.92,Reit,,0.0,,,,,,24.07,,,24.24,24.51,1.09,-0.02,20.77,25.21,19.2,25.25,23.86,3.09,-1.35,35.213168,43.449596,26.635514,25.815486,-1.39,4.66,22.93617,58.878431,20610,19273,15948,18610
CIMN,CIMN,CIM,,BB,8.0,07/30/2025,5/15/2026,5/15/2029,0.56,9.00%,,,80.92,Reit,,58.0,,,,,,24.83,,,,,,,23.62,25.85,23.62,25.85,24.71,1.09,-1.14,,,64.018692,23.047776,-1.14,1.09,20.099291,81.278431,10301,9922,9207,9810
CIMO,CIMO,CIM,,,8.0,07/30/2025,8/15/2026,8/15/2029,0.58,9.25%,,,80.92,Reit,,58.0,,,,,,25.27,,,,,,,24.12,26.05,24.12,26.25,24.93,0.81,-1.12,,,69.252336,22.784185,-1.32,0.81,22.141844,83.035294,13591,12141,5371,10368
CMRE PRB,CMRE-B,CMRE,,,8.0,07/10/2025,8/6/2018,NONE,0.48,7.63%,25.18,24.82,119.96,Marineshipping,,38.0,,,,,,24.9,0.21,-0.15,25.41,25.68,-1.48,-2.52,24.02,26.3,22.13,28.16,24.75,0.73,-1.55,46.308689,51.956614,70.747664,28.4514,-3.41,2.62,45.858156,71.678431,1728,2248,3390,2456
CMRE PRC,CMRE-C,CMRE,,,8.0,07/10/2025,1/21/2019,NONE,0.53,8.50%,25.32,25.17,119.96,Marineshipping,,38.0,,,,,,25.65,0.34,0.19,25.93,26.09,-1.63,-2.22,25.05,27.19,24.35,27.19,25.2,0.15,-1.99,46.956287,50.935772,81.588785,34.250412,-1.99,0.85,29.744681,82.784314,3304,3915,3402,3540
